paired_frames=260
# z0(地面参考,全点z 1%分位)=-0.77m  → 矮层(z0+0.03~z0+0.40)=[-0.74,-0.37]  高层>-0.37
t(s)	scan右前m	右矮	右高	左矮	左高	右矮簇(方位°@距离m,n,ring,最高zm)
247.21	  5.43	  350	  424	  141	  434	-4°@1.91m,n=19,r0-1,z=-0.47 | -8°@1.86m,n=72,r0-1,z=-0.46 | -12°@2.00m,n=10,r0-2,z=-0.45
247.32	  5.43	  349	  421	  141	  438	-4°@1.91m,n=18,r0-1,z=-0.47 | -8°@1.86m,n=71,r0-1,z=-0.46 | -12°@1.99m,n=12,r0-2,z=-0.46
247.41	  5.43	  352	  421	  138	  437	-4°@1.91m,n=18,r0-1,z=-0.47 | -8°@1.86m,n=71,r0-1,z=-0.46 | -12°@1.99m,n=12,r0-2,z=-0.46
247.51	  5.42	  354	  424	  142	  432	-4°@1.91m,n=18,r0-1,z=-0.47 | -8°@1.86m,n=72,r0-2,z=-0.46 | -12°@2.00m,n=12,r0-2,z=-0.47
247.62	  5.43	  321	  453	  142	  435	-4°@1.91m,n=18,r0-1,z=-0.47 | -8°@1.86m,n=74,r0-2,z=-0.46 | -12°@2.00m,n=9,r0-2,z=-0.47
247.72	  0.82	  210	  720	  142	  436	-4°@1.91m,n=19,r0-1,z=-0.47 | -8°@1.86m,n=72,r0-1,z=-0.46 | -12°@2.00m,n=11,r0-2,z=-0.44
247.82	  0.82	  159	  969	  140	  431	-4°@1.91m,n=19,r0-1,z=-0.46 | -8°@1.86m,n=71,r0-2,z=-0.46 | -12°@2.00m,n=12,r0-2,z=-0.46
247.93	  0.83	  123	 1173	  140	  436	-4°@1.91m,n=18,r0-1,z=-0.47 | -8°@1.86m,n=72,r0-1,z=-0.46 | -12°@2.00m,n=12,r0-2,z=-0.46
248.02	  0.93	   86	 1296	  143	  436	-4°@1.91m,n=18,r0-1,z=-0.47 | -8°@1.85m,n=66,r0-1,z=-0.46
248.12	  0.97	   80	 1343	  145	  430	-4°@1.91m,n=19,r0-1,z=-0.47 | -7°@1.85m,n=60,r0-1,z=-0.46
