[INFO] [1788448940.612305485] [rosbag2_storage]: Opened database '/home/lin/Lin_workspace/bags/raw/relog_0903_2104/relog_0903_2104_0.db3' for READ_ONLY.
# 稳定驻留段表（档跳变>0.3m 断段；驻留>=1.0s；平均与最近均 0.1m 档）
起止(s)	时长	带°	平均m	最近m	基准m
 119.6~ 120.7	  1.1	  -13.5	  2.33	  2.11	 5.59
 136.8~ 139.1	  2.3	  -13.5	  1.26	  0.99	 5.59
 227.9~ 229.4	  1.4	  -13.5	  2.11	  2.12	 5.59
 229.9~ 238.9	  9.1	  -13.5	  2.11	  2.11	 5.59
 247.9~ 252.6	  4.6	  -13.5	  1.01	  0.84	 5.59
 252.7~ 254.0	  1.3	  -13.5	  1.80	  1.78	 5.59
 254.1~ 258.6	  4.5	  -13.5	  1.05	  0.80	 5.59
 264.7~ 266.8	  2.1	  -13.5	  1.97	  1.59	 5.59
 273.6~ 275.8	  2.1	  -13.5	  2.57	  2.07	 5.59
 119.4~ 120.7	  1.3	  -12.5	  2.34	  2.09	 5.57
 136.8~ 139.1	  2.3	  -12.5	  1.25	  1.00	 5.57
 227.6~ 229.4	  1.7	  -12.5	  2.01	  1.94	 5.57
 229.9~ 239.2	  9.4	  -12.5	  1.99	  1.70	 5.57
 247.9~ 252.6	  4.6	  -12.5	  1.02	  0.85	 5.57
 252.7~ 254.1	  1.4	  -12.5	  1.60	  1.63	 5.57
 254.2~ 258.5	  4.3	  -12.5	  1.06	  0.81	 5.57
 274.1~ 275.7	  1.5	  -12.5	  2.62	  2.36	 5.57
 119.4~ 120.7	  1.3	  -11.5	  2.34	  2.11	 5.55
 137.0~ 139.1	  2.1	  -11.5	  1.27	  0.99	 5.55
 181.0~ 184.6	  3.5	  -11.5	  3.30	  2.88	 5.55
 227.4~ 229.5	  2.0	  -11.5	  1.84	  1.83	 5.55
 229.9~ 239.5	  9.6	  -11.5	  1.82	  1.58	 5.55
 248.0~ 252.5	  4.4	  -11.5	  1.03	  0.86	 5.55
 252.6~ 254.3	  1.7	  -11.5	  1.60	  1.62	 5.55
 254.4~ 258.5	  4.1	  -11.5	  1.07	  0.86	 5.55
 274.4~ 275.7	  1.2	  -11.5	  2.65	  2.39	 5.55
 119.2~ 120.8	  1.6	  -10.5	  2.29	  2.06	 5.53
 137.0~ 139.1	  2.1	  -10.5	  1.26	  0.99	 5.53
 139.5~ 178.6	 39.1	  -10.5	  2.00	  1.96	 5.53
 181.4~ 184.7	  3.3	  -10.5	  3.28	  3.01	 5.53
 226.9~ 229.5	  2.5	  -10.5	  1.89	  1.83	 5.53
 229.9~ 239.5	  9.6	  -10.5	  1.80	  1.60	 5.53
 248.0~ 252.5	  4.4	  -10.5	  1.03	  0.86	 5.53
 252.6~ 254.4	  1.8	  -10.5	  1.60	  1.62	 5.53
 254.5~ 255.8	  1.3	  -10.5	  1.02	  0.91	 5.53
 256.3~ 258.4	  2.1	  -10.5	  1.14	  0.89	 5.53
 119.0~ 120.6	  1.6	   -9.5	  2.28	  2.18	 5.53
 137.1~ 139.0	  1.9	   -9.5	  1.30	  1.08	 5.53
 139.5~ 180.0	 40.5	   -9.5	  2.00	  1.83	 5.53
 181.1~ 184.8	  3.6	   -9.5	  3.23	  2.95	 5.53
 226.7~ 227.7	  1.0	   -9.5	  2.11	  1.86	 5.53
 227.8~ 229.3	  1.4	   -9.5	  1.80	  1.83	 5.53
 229.9~ 239.5	  9.6	   -9.5	  1.80	  1.60	 5.53
 248.9~ 252.4	  3.4	   -9.5	  1.00	  0.88	 5.53
 252.5~ 254.4	  1.9	   -9.5	  1.60	  1.63	 5.53
 254.5~ 255.6	  1.1	   -9.5	  1.09	  1.04	 5.53
 256.4~ 258.2	  1.8	   -9.5	  1.23	  1.10	 5.53
 118.7~ 121.0	  2.3	   -8.5	  2.28	  1.99	 5.50
 137.1~ 139.0	  1.9	   -8.5	  1.30	  1.09	 5.50
 139.5~ 179.7	 40.2	   -8.5	  2.00	  1.76	 5.50
 180.4~ 181.9	  1.4	   -8.5	  2.99	  2.66	 5.50
 182.0~ 184.8	  2.8	   -8.5	  3.25	  3.03	 5.50
 227.2~ 229.3	  2.0	   -8.5	  1.89	  1.84	 5.50
 229.9~ 239.3	  9.5	   -8.5	  1.87	  1.69	 5.50
 249.0~ 252.4	  3.3	   -8.5	  0.99	  0.91	 5.50
 252.5~ 254.5	  2.0	   -8.5	  1.62	  1.64	 5.50
 254.6~ 255.6	  1.0	   -8.5	  1.11	  1.07	 5.50
 256.8~ 258.4	  1.6	   -8.5	  1.24	  0.97	 5.50
 118.5~ 120.9	  2.4	   -7.5	  2.35	  2.07	 5.49
 137.2~ 139.0	  1.8	   -7.5	  1.33	  1.10	 5.49
 139.4~ 179.8	 40.4	   -7.5	  1.98	  1.76	 5.49
 181.1~ 184.9	  3.7	   -7.5	  3.26	  3.01	 5.49
 226.9~ 229.3	  2.3	   -7.5	  1.96	  1.87	 5.49
 229.8~ 239.3	  9.6	   -7.5	  1.90	  1.70	 5.49
 249.1~ 252.2	  3.0	   -7.5	  1.00	  0.93	 5.49
 252.3~ 254.6	  2.3	   -7.5	  1.70	  1.65	 5.49
 257.1~ 258.1	  1.0	   -7.5	  1.35	  1.25	 5.49
 119.6~ 120.9	  1.3	   -6.5	  2.35	  2.08	 5.48
 137.8~ 139.1	  1.3	   -6.5	  1.35	  1.05	 5.48
 139.4~ 179.8	 40.4	   -6.5	  1.93	  1.76	 5.48
 181.2~ 184.3	  3.0	   -6.5	  3.30	  3.15	 5.48
 186.2~ 222.0	 35.8	   -6.5	  3.91	  3.93	 5.48
 223.1~ 225.0	  1.9	   -6.5	  3.86	  3.62	 5.48
 226.9~ 229.3	  2.3	   -6.5	  1.96	  1.87	 5.48
 229.8~ 239.3	  9.6	   -6.5	  1.90	  1.72	 5.48
 249.1~ 250.8	  1.7	   -6.5	  1.01	  0.93	 5.48
 252.5~ 254.7	  2.2	   -6.5	  1.70	  1.66	 5.48
 119.4~ 120.8	  1.4	   -5.5	  2.35	  2.15	 5.47
 138.0~ 139.1	  1.1	   -5.5	  1.34	  1.08	 5.47
 139.4~ 179.8	 40.4	   -5.5	  1.91	  1.93	 5.47
 181.1~ 182.5	  1.3	   -5.5	  3.74	  3.49	 5.47
 184.3~ 185.3	  1.0	   -5.5	  3.90	  3.94	 5.47
 186.1~ 222.0	 35.9	   -5.5	  3.90	  3.94	 5.47
 223.2~ 225.0	  1.8	   -5.5	  3.87	  3.62	 5.47
 226.7~ 229.4	  2.6	   -5.5	  2.00	  1.90	 5.47
 229.8~ 239.3	  9.6	   -5.5	  1.90	  1.74	 5.47
 250.9~ 252.3	  1.3	   -5.5	  1.69	  1.59	 5.47
 252.5~ 254.8	  2.3	   -5.5	  1.70	  1.66	 5.47
 274.2~ 275.5	  1.2	   -5.5	  3.04	  2.84	 5.47
 118.7~ 120.8	  2.1	   -4.5	  2.30	  2.13	 5.46
 138.1~ 139.1	  1.0	   -4.5	  1.35	  1.09	 5.46
 139.3~ 179.8	 40.5	   -4.5	  1.90	  1.93	 5.46
 181.1~ 182.6	  1.4	   -4.5	  3.75	  3.48	 5.46
 184.3~ 185.4	  1.1	   -4.5	  3.92	  3.94	 5.46
 186.0~ 222.1	 36.1	   -4.5	  3.93	  3.94	 5.46
 223.3~ 225.0	  1.7	   -4.5	  3.88	  3.62	 5.46
 227.3~ 229.3	  1.9	   -4.5	  1.91	  1.91	 5.46
 229.8~ 239.2	  9.5	   -4.5	  1.90	  1.80	 5.46
 251.0~ 252.3	  1.2	   -4.5	  1.69	  1.65	 5.46
 252.5~ 254.8	  2.3	   -4.5	  1.70	  1.66	 5.46
 274.2~ 275.5	  1.2	   -4.5	  3.00	  2.86	 5.46
 139.0~ 179.8	 40.8	   -3.5	  1.90	  1.93	 5.46
 181.1~ 183.9	  2.7	   -3.5	  3.91	  3.48	 5.46
 184.1~ 222.1	 38.0	   -3.5	  4.00	  3.95	 5.46
 223.3~ 224.9	  1.6	   -3.5	  3.94	  3.72	 5.46
 227.4~ 229.3	  1.8	   -3.5	  1.91	  1.91	 5.46
 229.8~ 239.2	  9.5	   -3.5	  1.90	  1.81	 5.46
 251.0~ 254.7	  3.6	   -3.5	  1.70	  1.65	 5.46
 139.0~ 179.8	 40.8	   -2.5	  1.90	  1.93	 5.44
 181.1~ 222.1	 41.0	   -2.5	  3.99	  3.47	 5.44
 223.4~ 224.9	  1.5	   -2.5	  3.95	  3.73	 5.44
 226.7~ 229.2	  2.4	   -2.5	  2.02	  1.93	 5.44
 229.8~ 239.2	  9.5	   -2.5	  1.91	  1.79	 5.44
 251.0~ 254.7	  3.6	   -2.5	  1.69	  1.42	 5.44
 116.3~ 117.5	  1.2	   -1.5	  3.60	  3.37	 5.45
 138.9~ 179.8	 41.0	   -1.5	  1.90	  1.92	 5.45
 181.0~ 222.2	 41.2	   -1.5	  3.99	  3.44	 5.45
 223.5~ 225.0	  1.5	   -1.5	  3.93	  3.67	 5.45
 226.8~ 229.2	  2.3	   -1.5	  2.04	  1.95	 5.45
 229.8~ 239.1	  9.4	   -1.5	  1.96	  1.89	 5.45
 251.2~ 254.6	  3.4	   -1.5	  1.70	  1.70	 5.45
 116.5~ 117.6	  1.1	   -0.5	  3.53	  3.26	 5.44
 138.9~ 179.6	 40.7	   -0.5	  1.92	  1.93	 5.44
 229.8~ 238.9	  9.2	   -0.5	  2.00	  1.97	 5.44
 251.2~ 254.6	  3.3	   -0.5	  1.76	  1.70	 5.44
 224.2~ 225.6	  1.4	   +0.5	  4.23	  3.99	 5.44
 116.0~ 117.6	  1.6	   +1.5	  3.60	  3.38	 5.45
 224.3~ 225.3	  1.0	   +1.5	  4.25	  4.12	 5.45
 116.0~ 117.7	  1.7	   +2.5	  3.54	  3.35	 5.45
 116.1~ 117.5	  1.4	   +3.5	  3.62	  3.43	 5.46
