# t(s)	scanN	front_min(m)	all_min(m)	raw254	raw253	odom_x	odom_y
   0	 10	   0.724	     nan	 543	5096	   0.000	   0.000
   1	 10	   0.736	     nan	 540	4956	   0.000	   0.000
   2	 10	   0.752	     nan	 548	4957	   0.000	   0.000
   3	 10	   0.736	     nan	 533	5071	   0.000	   0.000
   4	 10	   0.720	     nan	 540	4952	   0.000	   0.000
   5	 10	   0.760	     nan	 531	4950	   0.000	   0.000
   6	 10	   0.736	     nan	 541	4979	   0.000	   0.000
   7	 10	   0.752	     nan	 543	4974	   0.000	   0.000
   8	  9	   0.756	     nan	 547	4976	   0.000	   0.000
   9	 10	   0.752	     nan	 541	4932	   0.000	   0.000
  10	 10	   0.736	     nan	 532	5103	   0.000	   0.000
  11	 10	   0.726	     nan	 547	4941	   0.000	   0.000
  12	 10	   0.750	     nan	 541	4963	   0.000	   0.000
  13	 10	   0.754	     nan	 546	4949	   0.000	   0.000
  14	 10	   0.750	     nan	 542	4948	   0.000	   0.000
  15	 10	   0.736	     nan	 544	4956	   0.000	   0.000
  16	 10	   0.750	     nan	 547	5114	   0.000	   0.000
  17	 10	   0.762	     nan	 536	4948	   0.000	   0.000
  18	 10	   0.766	     nan	 541	4983	   0.000	   0.000
  19	 10	   0.750	     nan	 538	4947	   0.000	   0.000
  20	  9	   0.750	     nan	 549	4986	   0.000	   0.000
  21	 10	   0.750	     nan	 559	4919	   0.000	   0.000
  22	 10	   0.714	     nan	 551	4960	   0.000	   0.000
  23	 10	   0.754	     nan	 548	4977	   0.000	   0.000
  24	 10	   0.750	     nan	 548	5103	   0.000	   0.000
  25	 10	   0.754	     nan	 543	4968	   0.000	   0.000
  26	 10	   0.742	     nan	 545	4970	   0.000	   0.000
  27	 10	   0.716	     nan	 543	5176	   0.000	   0.000
  28	 10	   0.748	     nan	 548	4953	   0.000	   0.000
  29	 10	   0.748	     nan	 546	4965	   0.000	   0.000
  30	 10	   0.732	     nan	 542	5069	   0.000	   0.000
  31	  9	   0.748	     nan	 535	5085	   0.000	   0.000
  32	 10	   0.752	     nan	 540	4965	   0.000	   0.000
  33	 10	   0.752	     nan	 534	5057	   0.000	   0.000
  34	 10	   0.736	     nan	 555	4975	   0.000	   0.000
  35	 10	   0.736	     nan	 556	5065	   0.000	   0.000
  36	 10	   0.748	     nan	 550	4928	   0.000	   0.000
  37	 10	   0.748	     nan	 565	4964	   0.000	   0.000
  38	 10	   0.748	     nan	 568	5057	   0.000	   0.000
